,Адрес объекта,Тип Объекта,Этажность объекта,Дата постройки,Общая площадь объекта
0,"б-р. Баландина, д.11",Многоквартирный дом,18,2011-01-01 00:00:00,5394.5
1,"б-р. Баландина, д.2",Многоквартирный дом,16,2012-01-01 00:00:00,12731.5
2,"б-р. Баландина, д.2а",Другое строение,3,,0.0
3,"б-р. Баландина, д.4",Многоквартирный дом,16,2012-01-01 00:00:00,4234.9
4,"б-р. Баландина, д.4 корп.1",Многоквартирный дом,16,2012-01-01 00:00:00,4250.1
5,"б-р. Баландина, д.9",Многоквартирный дом,18,2011-01-01 00:00:00,8213.4
6,"б-р. Давлеткильдеева, д.1",Другое строение,3,,0.0
7,"б-р. Давлеткильдеева, д.12",Многоквартирный дом,24,2018-12-01 00:00:00,14131.0
8,"б-р. Давлеткильдеева, д.12* корп.потери",Другое строение,0,,
9,"б-р. Давлеткильдеева, д.16",Многоквартирный дом,30,2018-11-01 00:00:00,16368.1
10,"б-р. Давлеткильдеева, д.18",Многоквартирный дом,26,2019-12-01 00:00:00,13668.3
11,"б-р. Давлеткильдеева, д.20",Многоквартирный дом,25,2019-12-01 00:00:00,21072.0
12,"б-р. Давлеткильдеева, д.3 корп.1",Многоквартирный дом,9,1983-01-01 00:00:00,5742.2
13,"б-р. Давлеткильдеева, д.3 корп.2",Многоквартирный дом,12,1983-01-01 00:00:00,2774.8
14,"б-р. Давлеткильдеева, д.5",Многоквартирный дом,25,2017-10-01 00:00:00,47639.6
15,"б-р. Давлеткильдеева, д.5 корп.1",Многоквартирный дом,9,1983-01-01 00:00:00,5684.4
16,"б-р. Давлеткильдеева, д.5 корп.2",Другое строение,2,,0.01
17,"б-р. Давлеткильдеева, д.8",Многоквартирный дом,11,2014-01-01 00:00:00,6106.5
18,"б-р. Давлеткильдеева, д.8*",Другое строение,0,,
19,"б-р. Ибрагимова, д.19",Многоквартирный дом,9,1975-01-01 00:00:00,8597.4
20,"б-р. Ибрагимова, д.19 корп.21",Другое строение,1,,0.01
21,"б-р. Ибрагимова, д.19 корп.А",Другое строение,1,,0.01
22,"б-р. Ибрагимова, д.21",Многоквартирный дом,9,1973-01-01 00:00:00,7789.9
23,"б-р. Ибрагимова, д.21 корп.1",Многоквартирный дом,10,2006-01-01 00:00:00,9956.3
24,"б-р. Ибрагимова, д.23",Многоквартирный дом,9,1970-01-01 00:00:00,7866.7
25,"б-р. Ибрагимова, д.23 корп.1",Многоквартирный дом,6,1989-01-01 00:00:00,2841.9
26,"б-р. Ибрагимова, д.23 корп.2",Другое строение,1,,0.01
27,"б-р. Ибрагимова, д.25",Многоквартирный дом,9,1970-01-01 00:00:00,7351.9
28,"б-р. Ибрагимова, д.32",Многоквартирный дом,11,2013-01-01 00:00:00,9458.6
29,"б-р. Ибрагимова, д.34",Многоквартирный дом,14,2017-01-01 00:00:00,11002.9
30,"б-р. Ибрагимова, д.35",Многоквартирный дом,9,1989-01-01 00:00:00,5438.8
31,"б-р. Ибрагимова, д.35 корп.1",Многоквартирный дом,6,1992-01-01 00:00:00,5289.7
32,"б-р. Ибрагимова, д.37",Многоквартирный дом,5,1968-01-01 00:00:00,6367.4
33,"б-р. Ибрагимова, д.37 корп.1",Многоквартирный дом,5,1968-01-01 00:00:00,3214.1
34,"б-р. Ибрагимова, д.37 корп.2",Многоквартирный дом,5,1975-01-01 00:00:00,3859.1
35,"б-р. Ибрагимова, д.37 корп.3",Многоквартирный дом,9,2013-01-01 00:00:00,6366.2
36,"б-р. Ибрагимова, д.41",Другое строение,2,1936-01-01 00:00:00,0.01
37,"б-р. Ибрагимова, д.42",Многоквартирный дом,10,2005-01-01 00:00:00,8109.0
38,"б-р. Ибрагимова, д.44",Многоквартирный дом,10,1997-01-01 00:00:00,8515.9
39,"б-р. Ибрагимова, д.46",Многоквартирный дом,12,2003-01-01 00:00:00,8854.9
40,"б-р. Ибрагимова, д.46 корп.1",Другое строение,0,,0.01
41,"б-р. Ибрагимова, д.47",Многоквартирный дом,5,1973-01-01 00:00:00,3492.6
42,"б-р. Ибрагимова, д.47 корп.1",Многоквартирный дом,9,1981-01-01 00:00:00,9474.3
43,"б-р. Ибрагимова, д.49",Многоквартирный дом,5,1972-01-01 00:00:00,4073.6
44,"б-р. Ибрагимова, д.49 корп.1",Многоквартирный дом,5,1970-01-01 00:00:00,3388.8
45,"б-р. Ибрагимова, д.49 корп.2",Другое строение,1,1970-01-01 00:00:00,0.01
46,"б-р. Ибрагимова, д.49 корп.3",Другое строение,2,1982-01-01 00:00:00,0.01
47,"б-р. Ибрагимова, д.51",Многоквартирный дом,5,1970-01-01 00:00:00,3563.5
48,"б-р. Ибрагимова, д.51 корп.2",Другое строение,1,2003-01-01 00:00:00,0.01
49,"б-р. Ибрагимова, д.53",Многоквартирный дом,14,1994-01-01 00:00:00,5066.1
50,"б-р. Ибрагимова, д.57",Другое строение,3,2004-01-01 00:00:00,0.01
51,"б-р. Ибрагимова, д.61",Другое строение,5,,0.01
52,"б-р. Ибрагимова, д.62",Многоквартирный дом,2,1954-01-01 00:00:00,713.2
53,"б-р. Ибрагимова, д.62 корп.а",Другое строение,1,2004-01-01 00:00:00,
54,"б-р. Ибрагимова, д.63",Другое строение,10,1987-01-01 00:00:00,0.01
55,"б-р. Ибрагимова, д.64",Многоквартирный дом,2,1956-01-01 00:00:00,582.0
56,"б-р. Ибрагимова, д.72",Многоквартирный дом,2,1958-01-01 00:00:00,605.2
57,"б-р. Ибрагимова, д.74 корп.76",Многоквартирный дом,2,1956-01-01 00:00:00,618.9
58,"б-р. Ибрагимова, д.78 корп.80",Многоквартирный дом,2,1956-01-01 00:00:00,659.2
59,"б-р. Ибрагимова, д.82",Другое строение,7,1986-01-01 00:00:00,0.01
60,"б-р. Ибрагимова, д.84",Другое строение,4,1973-01-01 00:00:00,0.03
61,"б-р. Ибрагимова, д.86",Другое строение,5,2001-01-01 00:00:00,0.01
62,"б-р. Ибрагимова, д.90 корп.2",Многоквартирный дом,20,,53759.1
63,"б-р. Молодежный, д.10",Многоквартирный дом,9,1972-01-01 00:00:00,4914.9
64,"б-р. Молодежный, д.2",Многоквартирный дом,9,1975-01-01 00:00:00,4507.6
65,"б-р. Молодежный, д.2 корп.А",Другое строение,1,,0.01
66,"б-р. Молодежный, д.3",Многоквартирный дом,9,1982-01-01 00:00:00,7754.95
67,"б-р. Молодежный, д.3 корп.1",Многоквартирный дом,5,1969-01-01 00:00:00,5244.6
68,"б-р. Молодежный, д.4","Жилое здание (Гостиница, Общежитие)",9,1973-01-01 00:00:00,8755.6
69,"б-р. Молодежный, д.5",Многоквартирный дом,9,1971-01-01 00:00:00,7640.4
70,"б-р. Молодежный, д.5 корп.1",Многоквартирный дом,5,1969-01-01 00:00:00,5231.6
71,"б-р. Молодежный, д.5 корп.2",Многоквартирный дом,9,1989-01-01 00:00:00,1979.8
72,"б-р. Молодежный, д.5 корп.А",Другое строение,1,,0.01
73,"б-р. Молодежный, д.6",Многоквартирный дом,9,1974-01-01 00:00:00,4538.0
74,"б-р. Молодежный, д.6 корп.1",Многоквартирный дом,15,2003-01-01 00:00:00,7311.2
75,"б-р. Молодежный, д.7",Многоквартирный дом,9,1971-01-01 00:00:00,7615.2
76,"б-р. Молодежный, д.7 корп.1",Другое строение,2,,0.01
77,"б-р. Молодежный, д.8",Многоквартирный дом,9,1973-01-01 00:00:00,7786.9
78,"б-р. Молодежный, д.8 корп.2",Другое строение,2,,0.01
79,"б-р. Плеханова, д.1",Многоквартирный дом,9,1977-01-01 00:00:00,5708.5
80,"б-р. Плеханова, д.11",Многоквартирный дом,9,1977-01-01 00:00:00,3851.2
81,"б-р. Плеханова, д.11 корп.1",Многоквартирный дом,9,1977-01-01 00:00:00,3874.8
82,"б-р. Плеханова, д.13",Многоквартирный дом,9,1977-01-01 00:00:00,3853.0
83,"б-р. Плеханова, д.3",Многоквартирный дом,9,1977-01-01 00:00:00,3795.2
84,"б-р. Плеханова, д.5",Многоквартирный дом,9,1977-01-01 00:00:00,7579.7
85,"б-р. Плеханова, д.5 корп.1",Другое строение,1,,0.12
86,"б-р. Плеханова, д.7",Многоквартирный дом,9,1978-01-01 00:00:00,5652.6
87,"б-р. Плеханова, д.7 корп.1",Другое строение,1,,0.01
88,"б-р. Плеханова, д.9",Многоквартирный дом,12,1978-01-01 00:00:00,4799.9
89,"б-р. Плеханова, д.9 корп.1",Многоквартирный дом,9,1995-01-01 00:00:00,4099.6
90,"б-р. Славы, д.1",Многоквартирный дом,9,1971-01-01 00:00:00,2953.7
91,"б-р. Славы, д.1 корп.а",Многоквартирный дом,12,1984-01-01 00:00:00,4506.1
92,"б-р. Славы, д.1 корп.в",Многоквартирный дом,12,1985-01-01 00:00:00,3089.7
93,"б-р. Славы, д.11",Многоквартирный дом,5,1962-01-01 00:00:00,3425.1
94,"б-р. Славы, д.13",Другое строение,1,,0.01
95,"б-р. Славы, д.14",Многоквартирный дом,5,1961-01-01 00:00:00,2283.5
96,"б-р. Славы, д.15",Многоквартирный дом,5,1962-01-01 00:00:00,2449.9
97,"б-р. Славы, д.16",Многоквартирный дом,5,1961-01-01 00:00:00,2344.5
98,"б-р. Славы, д.17",Многоквартирный дом,5,1962-01-01 00:00:00,3497.7
99,"б-р. Славы, д.18",Многоквартирный дом,5,1961-01-01 00:00:00,3213.5
100,"б-р. Славы, д.2",Другое строение,1,,0.01
101,"б-р. Славы, д.2 корп.1",Многоквартирный дом,12,1982-01-01 00:00:00,3858.5
102,"б-р. Славы, д.2 корп.1цтп",Другое строение,1,1982-01-01 00:00:00,0.01
103,"б-р. Славы, д.2 корп.2",Многоквартирный дом,12,1984-01-01 00:00:00,3813.9
104,"б-р. Славы, д.2 корп.3",Многоквартирный дом,12,1983-01-01 00:00:00,4203.4
105,"б-р. Славы, д.3",Многоквартирный дом,5,1963-01-01 00:00:00,2556.7
106,"б-р. Славы, д.4",Многоквартирный дом,5,1964-01-01 00:00:00,2541.8
107,"б-р. Славы, д.4 корп.2",Другое строение,1,,0.01
108,"б-р. Славы, д.5",Многоквартирный дом,5,1985-01-01 00:00:00,2914.0
109,"б-р. Славы, д.6",Другое строение,1,,0.01
110,б-р. Тухвата Янаби,Другое строение,0,,
111,"б-р. Тухвата Янаби, д.22",Многоквартирный дом,14,2000-01-01 00:00:00,16021.7
112,"б-р. Тухвата Янаби, д.24",Многоквартирный дом,9,1988-01-01 00:00:00,10067.5
113,"б-р. Тухвата Янаби, д.26",Многоквартирный дом,9,1982-01-01 00:00:00,7519.4
114,"б-р. Тухвата Янаби, д.26 корп.1",Другое строение,2,1986-01-01 00:00:00,0.01
115,"б-р. Тухвата Янаби, д.28",Многоквартирный дом,9,1982-01-01 00:00:00,3801.1
116,"б-р. Тухвата Янаби, д.28 корп.1",Другое строение,2,,0.02
117,"б-р. Тухвата Янаби, д.30",Многоквартирный дом,9,1982-01-01 00:00:00,3814.2
118,"б-р. Тухвата Янаби, д.30 корп.1",Многоквартирный дом,9,1982-01-01 00:00:00,7514.1
119,"б-р. Тухвата Янаби, д.32",Другое строение,1,,0.01
120,"б-р. Тухвата Янаби, д.32 корп.1",Другое строение,1,,0.01
121,"б-р. Тухвата Янаби, д.34","Административные здания, конторы",2,,0.01
124,"б-р. Тухвата Янаби, д.34 корп.2",Другое строение,1,2013-01-01 00:00:00,0.01
125,"б-р. Тухвата Янаби, д.36",Другое строение,1,2016-01-01 00:00:00,0.01
126,"б-р. Тухвата Янаби, д.4",Многоквартирный дом,13,2015-01-01 00:00:00,19871.92
127,"б-р. Тухвата Янаби, д.45",Многоквартирный дом,9,1981-01-01 00:00:00,11309.0
128,"б-р. Тухвата Янаби, д.47",Многоквартирный дом,9,1982-01-01 00:00:00,8695.4
129,"б-р. Тухвата Янаби, д.47 корп.1","Жилое здание (Гостиница, Общежитие)",1,1981-01-01 00:00:00,0.01
130,"б-р. Тухвата Янаби, д.49",Многоквартирный дом,9,1978-01-01 00:00:00,11266.0
131,"б-р. Тухвата Янаби, д.49 корп.1",Многоквартирный дом,9,1978-01-01 00:00:00,3857.4
132,"б-р. Тухвата Янаби, д.49 корп.2",Многоквартирный дом,9,1978-01-01 00:00:00,3864.7
133,"б-р. Тухвата Янаби, д.49 корп.3",Многоквартирный дом,9,1978-01-01 00:00:00,7507.5
134,"б-р. Тухвата Янаби, д.49 корп.4",Другое строение,3,,0.01
135,"б-р. Тухвата Янаби, д.51",Многоквартирный дом,9,1979-01-01 00:00:00,7622.1
136,"б-р. Тухвата Янаби, д.51 корп.1",Другое строение,2,1980-01-01 00:00:00,0.01
137,"б-р. Тухвата Янаби, д.53",Многоквартирный дом,9,1986-01-01 00:00:00,9182.05
138,"б-р. Тухвата Янаби, д.53 корп.1",Многоквартирный дом,9,1986-01-01 00:00:00,2167.1
139,"б-р. Тухвата Янаби, д.53 корп.2",Многоквартирный дом,9,1985-01-01 00:00:00,6547.6
140,"б-р. Тухвата Янаби, д.57",Многоквартирный дом,9,1974-01-01 00:00:00,11155.1
141,"б-р. Тухвата Янаби, д.57 корп.1",Другое строение,1,,0.01
142,"б-р. Тухвата Янаби, д.59",Многоквартирный дом,9,1975-01-01 00:00:00,7571.5
143,"б-р. Тухвата Янаби, д.59 корп.1",Многоквартирный дом,9,1975-01-01 00:00:00,3800.9
144,"б-р. Тухвата Янаби, д.59 корп.2",Другое строение,4,1976-01-01 00:00:00,0.01
145,"б-р. Тухвата Янаби, д.61",Многоквартирный дом,9,1974-01-01 00:00:00,7598.8
146,"б-р. Тухвата Янаби, д.61 корп.1",Другое строение,1,,0.01
147,"б-р. Тухвата Янаби, д.63",Многоквартирный дом,9,1975-01-01 00:00:00,7511.2
148,"б-р. Тухвата Янаби, д.65",Многоквартирный дом,9,1973-01-01 00:00:00,7507.41
149,"б-р. Тухвата Янаби, д.65 корп.1",Многоквартирный дом,9,1974-01-01 00:00:00,3813.7
150,"б-р. Тухвата Янаби, д.65 корп.2.",Дет.ясли и сады,2,,0.01
151,"б-р. Тухвата Янаби, д.65 корп.3",Многоквартирный дом,9,1978-01-01 00:00:00,4357.5
152,"б-р. Тухвата Янаби, д.67",Многоквартирный дом,9,1975-01-01 00:00:00,10991.0
153,"б-р. Тухвата Янаби, д.69",Многоквартирный дом,9,1973-01-01 00:00:00,7549.9
154,"б-р. Тухвата Янаби, д.69 корп.1",Многоквартирный дом,9,1973-01-01 00:00:00,3854.0
155,"б-р. Тухвата Янаби, д.69 корп.2.",Дет.ясли и сады,2,,0.01
156,"б-р. Тухвата Янаби, д.71",Многоквартирный дом,12,1978-01-01 00:00:00,4045.3
157,"б-р. Тухвата Янаби, д.71 корп.1",Другое строение,1,,0.01
158,"б-р. Тухвата Янаби, д.71 корп.2","Административные здания, конторы",1,,0.0
160,"б-р. Тухвата Янаби, д.71 корп.Б",Другое строение,1,,0.01
161,"б-р. Тухвата Янаби, д.73",Многоквартирный дом,2,1960-01-01 00:00:00,563.7
162,"б-р. Тухвата Янаби, д.75",Многоквартирный дом,2,1959-01-01 00:00:00,561.5
163,"б-р. Тухвата Янаби, д.75 корп.А",Многоквартирный дом,2,1959-01-01 00:00:00,560.3
164,"б-р. Тухвата Янаби, д.75 корп.Б",Многоквартирный дом,2,1960-01-01 00:00:00,560.5
165,"б-р. Тухвата Янаби, д.77",Многоквартирный дом,2,1960-01-01 00:00:00,570.6
166,"б-р. Тухвата Янаби, д.79",Многоквартирный дом,2,1960-01-01 00:00:00,577.0
167,"б-р. Тухвата Янаби, д.81",Многоквартирный дом,2,1960-01-01 00:00:00,558.1
168,"б-р. Тухвата Янаби, д.81 корп.А",Многоквартирный дом,2,1960-01-01 00:00:00,551.8
170,"б-р. Тюлькина, д.3",Многоквартирный дом,13,1994-01-01 00:00:00,5642.9
171,"б-р. Тюлькина, д.4",Другое строение,2,,0.01
172,"б-р. Тюлькина, д.5",Многоквартирный дом,12,1983-01-01 00:00:00,2776.3
173,"б-р. Тюлькина, д.5 корп.1",Многоквартирный дом,12,1983-01-01 00:00:00,2786.4
174,"б-р. Тюлькина, д.7",Многоквартирный дом,12,1984-01-01 00:00:00,2764.6
175,"б-р. Тюлькина, д.7 корп.1",Многоквартирный дом,9,1983-01-01 00:00:00,5656.9
176,"б-р. Тюлькина, д.7 корп.2",Многоквартирный дом,9,1983-01-01 00:00:00,1702.0
177,"б-р. Тюлькина, д.7 корп.3",Многоквартирный дом,9,1983-01-01 00:00:00,2857.7
178,"б-р. Хадии Давлетшиной, д.11 корп.а",Другое строение,9,,0.01
179,"б-р. Хадии Давлетшиной, д.11./а",Другое строение,0,,0.01
180,"б-р. Хадии Давлетшиной, д.13",Многоквартирный дом,10,1980-01-01 00:00:00,4056.2
181,"б-р. Хадии Давлетшиной, д.13 корп.1",Многоквартирный дом,9,1979-01-01 00:00:00,3841.22
182,"б-р. Хадии Давлетшиной, д.16",Многоквартирный дом,10,1987-01-01 00:00:00,12676.7
183,"б-р. Хадии Давлетшиной, д.16 корп.1",Многоквартирный дом,9,1987-01-01 00:00:00,4908.8
184,"б-р. Хадии Давлетшиной, д.17",Многоквартирный дом,10,1979-01-01 00:00:00,4060.9
185,"б-р. Хадии Давлетшиной, д.17 корп.1",Многоквартирный дом,9,1980-01-01 00:00:00,7495.2
186,"б-р. Хадии Давлетшиной, д.18",Многоквартирный дом,11,1992-01-01 00:00:00,21975.2
187,"б-р. Хадии Давлетшиной, д.18 корп.1",Другое строение,10,1995-01-01 00:00:00,0.01
188,"б-р. Хадии Давлетшиной, д.18 корп.1а","Административные здания, конторы",2,,0.01
189,"б-р. Хадии Давлетшиной, д.18 корп.3",Другое строение,2,,0.01
190,"б-р. Хадии Давлетшиной, д.18/1",Условное помещение,1,,
191,"б-р. Хадии Давлетшиной, д.19",Многоквартирный дом,9,1980-01-01 00:00:00,3832.2
192,"б-р. Хадии Давлетшиной, д.19 корп.1",Другое строение,2,,0.01
193,"б-р. Хадии Давлетшиной, д.19 корп.2",Другое строение,1,2019-12-01 00:00:00,0.02
194,"б-р. Хадии Давлетшиной, д.19 корп.а",Другое строение,2,,0.01
195,"б-р. Хадии Давлетшиной, д.20 корп.1",Многоквартирный дом,3,1957-01-01 00:00:00,1155.3
197,"б-р. Хадии Давлетшиной, д.21",Многоквартирный дом,9,1982-01-01 00:00:00,4130.6
198,"б-р. Хадии Давлетшиной, д.23",Другое строение,3,2004-01-01 00:00:00,0.01
199,"б-р. Хадии Давлетшиной, д.24",Многоквартирный дом,11,2006-01-01 00:00:00,9793.1
200,"б-р. Хадии Давлетшиной, д.24 корп.1",Многоквартирный дом,12,1988-01-01 00:00:00,4030.5
201,"б-р. Хадии Давлетшиной, д.28",Другое строение,3,1974-01-01 00:00:00,0.01
202,"б-р. Хадии Давлетшиной, д.28*",Другое строение,0,,
203,"б-р. Хадии Давлетшиной, д.3",Другое строение,2,1939-01-01 00:00:00,0.01
204,"б-р. Хадии Давлетшиной, д.30",Многоквартирный дом,12,1981-01-01 00:00:00,6067.5
205,"б-р. Хадии Давлетшиной, д.30 корп.а",Другое строение,3,2005-01-01 00:00:00,0.01
206,"б-р. Хадии Давлетшиной, д.32",Другое строение,2,1983-01-01 00:00:00,0.01
207,"б-р. Хадии Давлетшиной, д.34",Многоквартирный дом,12,1980-01-01 00:00:00,6240.6
208,"б-р. Хадии Давлетшиной, д.4",Другое строение,4,1938-01-01 00:00:00,0.01
209,"б-р. Хадии Давлетшиной, д.4 корп.1",Другое строение,4,2007-01-01 00:00:00,0.01
210,"б-р. Хадии Давлетшиной, д.6",Многоквартирный дом,12,2012-01-01 00:00:00,6776.9
211,"б-р. Хадии Давлетшиной, д.9","Административные здания, конторы",9,,0.01
212,"наб. Моторостроителей, д.13",Многоквартирный дом,18,2015-01-01 00:00:00,6786.71
213,"наб. Моторостроителей, д.15 корп.А",Многоквартирный дом,20,2014-01-01 00:00:00,7392.3
214,"наб. Моторостроителей, д.15 корп.Б",Многоквартирный дом,19,2014-01-20 00:00:00,8006.2
215,"наб. Моторостроителей, д.17",Многоквартирный дом,20,2013-01-01 00:00:00,7492.3
216,"пер. Дачный, д.4",Многоквартирный дом,5,1972-01-01 00:00:00,3344.8
217,"пер. Дачный, д.6",Многоквартирный дом,5,1969-01-01 00:00:00,4471.2
218,"пер. Запорожский, д.32",Многоквартирный дом,2,1963-01-01 00:00:00,628.7
219,"пер. Запорожский, д.7",Многоквартирный дом,9,1985-01-01 00:00:00,4090.5
220,"пер. Кулибина, д.3",Многоквартирный дом,2,1953-01-01 00:00:00,412.4
221,"пер. Кулибина, д.4",Многоквартирный дом,4,1959-01-01 00:00:00,1277.4
222,"пер. Кулибина, д.5",Многоквартирный дом,2,1953-01-01 00:00:00,406.0
223,"пер. Кулибина, д.7",Многоквартирный дом,2,1953-01-01 00:00:00,671.97
224,"пер. Осетинский, д.15",Частный дом,1,1989-01-01 00:00:00,67.2
225,"пер. Пархоменко, д.10",Многоквартирный дом,5,1966-01-01 00:00:00,2401.7
226,"пер. Пархоменко, д.12",Многоквартирный дом,3,1960-01-01 00:00:00,965.2
227,"пер. Пархоменко, д.14",Многоквартирный дом,2,1953-01-01 00:00:00,847.78
228,"пер. Пархоменко, д.3",Другое строение,2,1969-01-01 00:00:00,0.01
229,"пер. Пархоменко, д.4",Другое строение,2,1961-01-01 00:00:00,0.01
230,"пер. Пархоменко, д.6",Многоквартирный дом,2,1957-01-01 00:00:00,599.48
231,"пер. Пархоменко, д.6 корп.1",Многоквартирный дом,3,1957-01-01 00:00:00,615.6
232,"пер. Пархоменко, д.7",Другое строение,2,,0.01
233,"пер. Пархоменко, д.8",Многоквартирный дом,5,1966-01-01 00:00:00,2503.6
234,"пер. Пархоменко, д.9",Многоквартирный дом,5,1978-01-01 00:00:00,1705.7
235,"пер. Станиславского, д.43 корп.1",Другое строение,1,,0.01
236,"пер. Шкаповский, д.1",Многоквартирный дом,5,1962-01-01 00:00:00,1581.5
237,"пер. Шкаповский, д.10",Многоквартирный дом,2,1950-01-01 00:00:00,600.8
238,"пер. Шкаповский, д.3",Другое строение,4,,0.01
239,"пер. Шкаповский, д.4",Многоквартирный дом,2,1950-01-01 00:00:00,776.4
240,"пер. Шкаповский, д.4 корп.а",Многоквартирный дом,2,1950-01-01 00:00:00,565.8
241,"пер. Шкаповский, д.5",Многоквартирный дом,5,1965-01-01 00:00:00,3086.1
242,"пер. Шкаповский, д.6",Многоквартирный дом,2,1950-01-01 00:00:00,552.6
243,"пер. Шкаповский, д.8",Многоквартирный дом,2,1951-01-01 00:00:00,746.2
244,"пер. Шкаповский, д.8 корп.а",Многоквартирный дом,2,1950-01-01 00:00:00,565.6
245,"пл. Верхнеторговая, д.1","Административные здания, конторы",1,,0.01
246,"пл. Верхнеторговая, д.1.",Другое строение,0,,0.01
247,"пл. Верхнеторговая, д.3","Административные здания, конторы",2,,0.01
248,"пр-кт Октября, д.0",Другое строение,1,,0.01
249,"пр-кт Октября, д.10",Многоквартирный дом,5,1960-01-01 00:00:00,3778.5
250,"пр-кт Октября, д.10 корп.1",Многоквартирный дом,12,1984-01-01 00:00:00,2787.8
251,"пр-кт Октября, д.101",Многоквартирный дом,5,1962-01-01 00:00:00,3241.4
252,"пр-кт Октября, д.103",Многоквартирный дом,5,1962-01-01 00:00:00,2858.4
253,"пр-кт Октября, д.103 корп.1",Многоквартирный дом,5,1963-01-01 00:00:00,2599.1
254,"пр-кт Октября, д.105",Многоквартирный дом,5,1962-01-01 00:00:00,2689.2
255,"пр-кт Октября, д.105 корп.1",Многоквартирный дом,5,1963-01-01 00:00:00,4997.9
256,"пр-кт Октября, д.105 корп.2",Многоквартирный дом,5,1963-01-01 00:00:00,2618.7
257,"пр-кт Октября, д.105 корп.3",Многоквартирный дом,5,1966-01-01 00:00:00,3200.0
258,"пр-кт Октября, д.105 корп.4",Многоквартирный дом,13,1980-01-01 00:00:00,5864.2
259,"пр-кт Октября, д.105 корп.5",Многоквартирный дом,13,1982-01-01 00:00:00,5192.4
260,"пр-кт Октября, д.106",Многоквартирный дом,5,1963-01-01 00:00:00,3934.4
261,"пр-кт Октября, д.106 корп.1",Многоквартирный дом,5,1963-01-01 00:00:00,3574.2
262,"пр-кт Октября, д.106 корп.2",Многоквартирный дом,7,1963-01-01 00:00:00,4745.5
263,"пр-кт Октября, д.106 корп.3",Многоквартирный дом,5,1963-01-01 00:00:00,3581.7
264,"пр-кт Октября, д.107",Многоквартирный дом,5,1960-01-01 00:00:00,3333.5
265,"пр-кт Октября, д.107 корп.1",Многоквартирный дом,5,1960-01-01 00:00:00,3086.0
266,"пр-кт Октября, д.107 корп.2",Многоквартирный дом,4,1960-01-01 00:00:00,2342.67
268,"пр-кт Октября, д.107 корп.6",Многоквартирный дом,14,2009-01-01 00:00:00,13106.5
269,"пр-кт Октября, д.107 корп.Б",Многоквартирный дом,15,2015-01-01 00:00:00,26026.8
270,"пр-кт Октября, д.107 корп.Б*А*",Другое строение,0,,0.0
271,"пр-кт Октября, д.107/А",Многоквартирный дом,25,2017-10-01 00:00:00,43984.69
272,"пр-кт Октября, д.108",Многоквартирный дом,5,1963-01-01 00:00:00,5617.4
273,"пр-кт Октября, д.108 корп.1",Другое строение,2,,0.01
274,"пр-кт Октября, д.109",Многоквартирный дом,5,1960-01-01 00:00:00,4222.9
275,"пр-кт Октября, д.109 корп.1",Многоквартирный дом,11,2011-01-01 00:00:00,4351.71
276,"пр-кт Октября, д.109 корп.2",Многоквартирный дом,5,1968-01-01 00:00:00,3557.3
278,"пр-кт Октября, д.109/1*",Другое строение,0,,
279,"пр-кт Октября, д.11",Многоквартирный дом,5,1959-01-01 00:00:00,7841.8
280,"пр-кт Октября, д.11 корп.1",Многоквартирный дом,5,1965-01-01 00:00:00,3567.0
281,"пр-кт Октября, д.11 корп.2",Многоквартирный дом,6,1994-01-01 00:00:00,3191.6
282,"пр-кт Октября, д.11 корп.3",Многоквартирный дом,13,2006-01-01 00:00:00,3781.1
283,"пр-кт Октября, д.110",Многоквартирный дом,5,1963-01-01 00:00:00,3202.1
284,"пр-кт Октября, д.111",Многоквартирный дом,5,1960-01-01 00:00:00,3302.9
285,"пр-кт Октября, д.111 корп.2",Многоквартирный дом,4,1960-01-01 00:00:00,2368.67
286,"пр-кт Октября, д.111 корп.3",Многоквартирный дом,5,1963-01-01 00:00:00,3554.9
287,"пр-кт Октября, д.112",Многоквартирный дом,9,1963-01-01 00:00:00,3194.0
288,"пр-кт Октября, д.112 корп.1",Многоквартирный дом,5,1963-01-01 00:00:00,4819.5
289,"пр-кт Октября, д.112 корп.2",Многоквартирный дом,5,1980-01-01 00:00:00,3154.0
290,"пр-кт Октября, д.112 корп.3",Многоквартирный дом,9,1983-01-01 00:00:00,5773.9
291,"пр-кт Октября, д.112 корп.4",Многоквартирный дом,9,1974-01-01 00:00:00,3851.3
292,"пр-кт Октября, д.113",Многоквартирный дом,5,1960-01-01 00:00:00,3573.3
293,"пр-кт Октября, д.114",Многоквартирный дом,5,1960-01-01 00:00:00,3345.3
294,"пр-кт Октября, д.114 корп.1",Многоквартирный дом,5,1960-01-01 00:00:00,3846.7
295,"пр-кт Октября, д.114 корп.2",Многоквартирный дом,5,1960-01-01 00:00:00,1601.2
296,"пр-кт Октября, д.114 корп.3",Многоквартирный дом,5,1960-01-01 00:00:00,1624.0
297,"пр-кт Октября, д.115",Другое строение,1,,0.01
298,"пр-кт Октября, д.115 корп.1",Многоквартирный дом,4,1960-01-01 00:00:00,2561.4
299,"пр-кт Октября, д.115 корп.3",Другое строение,1,,0.01
300,"пр-кт Октября, д.115 корп.4",Другое строение,1,,0.01
301,"пр-кт Октября, д.116",Многоквартирный дом,5,1960-01-01 00:00:00,3823.5
302,"пр-кт Октября, д.116 корп.1",Другое строение,2,,0.01
